"Generations","Abundance"
1,10
2,20.7784
3,43.125815748183
4,89.2999721836883
5,184.021453375158
6,375.450021635031
7,750.488097751783
8,1439.35704819242
9,2546.36493840909
10,3895.90060158614
11,4825.01628785229
12,5007.38492827615
13,4999.39742571013
14,5000.0481275145
15,4999.99614929853
16,5000.00030805291
17,4999.99997535575
18,5000.00000197154
19,4999.99999984228
20,5000.00000001262
