hhidde,Sample,Sample_Type,read_count,r1_average_quality,r2_average_quality,unfiltered_closed_otu_count,filtered_closed_otu_count,unfiltered_de_novo_otu_count,filtered_de_novo_otu_count,unfiltered_swarm_otu_count,filtered_swarm_otu_count,sex,age
215,H08143895,Human,58132,30.8,26,400,212,2575,982,1860,697,Female,38.17659
215,Z08151763,Cow,49614,30.1,26.7,521,197,4382,1764,1153,518,Male,7
216,H08143896,Human,6408,32.6,27.3,472,374,,,,,Female,54.50513
216,Z08151759,Cow,95185,31.2,26.6,528,209,11662,2806,9085,1834,Female,2 years 4 months
217,H08143745,Human,28346,32.7,27.7,1053,415,2959,1130,2334,1218,,
217,Z08151920,Cow,79788,30.3,27,762,491,7596,2288,4341,1592,Female,3
218,H08143734,Human,22205,33.3,26.2,742,339,3578,1737,2376,1129,,
218,Z08151893,Cow,14159,30.3,26.5,211,125,1655,1474,587,505,Male,3
218,Z08151896,Cooking Area - Inside,105372,31.418,28.313,460,202,6774,1628,3466,765,,
218,Z08151897,Chicken,19408,32.6,27.8,217,118,1187,633,993,569,Male,Adult
219,H08143900,Human,52754,30.4,27.4,478,199,3228,1160,1470,605,Female,15.40862
219,Z08151747,Cooking Area - Outside,52334,32.6,27.8,651,217,4311,1290,2645,755,,
219,Z08151749,Cow,88439,29.8,26.8,291,89,5341,1453,1618,673,Female,2
220,H08143750,Human,14113,33.1,26.8,,,1481,1084,1042,788,,
220,Z08151934,Cow,27357,33.8,27.2,370,360,5846,2752,4187,2145,Male,2
221,H08143744,Human,197621,30.9,26.3,669,235,4983,897,3061,832,Female,59.30185
221,Z08151915,Cooking Area - Outside,13705,32.5,27.7,850,516,3403,2287,1931,1346,,
221,Z08151917,Cow,99471,31.5,27.3,504,288,12493,2784,10954,2227,Female,3
222,H08143733,Human,60115,30.4,27.3,478,172,3329,1092,1114,472,,
222,Z08151905,Cow,116296,31.2,27,426,154,9439,1978,6910,1016,Female,4
223,H08143741,Human,102919,30.8,26.8,703,332,5759,1531,4190,1216,Male,27.66324
223,Z08151909,Cow,29715,33.4,26.2,226,73,2467,907,1200,455,Female,3
224,H08143751,Human,44594,30.2,27.1,1161,465,3689,1369,2927,1612,Female,49.28131
224,Z08151938,Cooking Area - Inside,169880,25.8,23.1,856,196,5604,1502,3027,781,,
224,Z08151940,Chicken,133135,31,26.6,368,95,2806,513,2423,672,Female,Adult
224,Z08151941,Cow,154247,30.4,27.4,761,413,13709,2828,9976,2402,Female,2
225,H08143891,Human,117346,29.8,26.9,861,380,4947,1067,3403,963,,
225,Z08151778,Cow,19246,33.5,26.3,277,167,3811,2114,2506,1403,Male,5
226,H08143888,Human,8894,30.2,26.7,583,503,,,,,Female,54.50513
226,Z08151792,Cow,16018,30.6,26.3,,,3116,2704,,,Female,2
227,H08143742,Human,14600,30.7,27.2,611,480,3080,2307,,,,
227,H08143743,Human,27951,30.7,26.5,454,384,2902,1604,2575,1351,Male,45.04312
227,Z08151910,Cow,200053,30.5,25.8,351,145,13757,2456,10396,1393,Male,5 years 10 months
229,H08143897,Human,37101,31.1,27,758,366,2992,1152,1942,993,Female,48.16427
229,H08143898,Human,134213,31.7,26.9,314,109,2775,609,970,260,Male,11.76181
229,Z08151751,Cow,12178,30.4,27.2,82,66,,,,,Male,4
229,Z08151758,Cooking Area - Outside,156195,30.8,26.1,486,224,6181,1434,5009,1043,,
231,H08143899,Human,51607,29.7,26.5,650,375,4922,1909,2032,1044,Female,46.25873
231,Z08151752,Cow,87926,30,27.1,432,133,4839,1298,1750,632,Female,1
